Test1,Test2,Test3,Test4,TotalSize,InitialSize,AfterNodes,AfterEdges
0.029288428,0.003759029,2.4801E-5,2.17001E-4,1423441920,1178348848,1136581424,1136581424
0.029718231,0.003562428,6.68E-5,1.47101E-4,1423441920,1136581424,1094812800,1094812800
0.029234528,0.003793129,3.1301E-5,1.52501E-4,1423441920,1094812800,1053045448,1053045448
0.029432529,0.00378093,2.49E-5,1.56801E-4,1423441920,1053045448,1011278088,990394312
0.029422229,0.003549528,2.31E-5,1.51701E-4,1423441920,990394312,948626576,948626576
0.027837317,0.003646028,2.4E-5,1.58202E-4,1423441920,948626576,906859208,906859208
0.027595714,0.003548828,2.91E-5,1.50802E-4,1423441920,906859208,865091768,865091768
0.027711616,0.003755729,3.3301E-5,2.07401E-4,1423441920,865091768,823324312,802440656
0.027727515,0.003584427,7.4501E-5,1.48701E-4,1423441920,802440656,760672024,760672024
0.027928617,0.003538928,2.33E-5,1.93301E-4,1423441920,760672024,718904704,718904704
0.028068519,0.003621928,4.85E-5,1.48902E-4,1423441920,718904704,677137112,677137112
0.027579514,0.003637729,2.25E-5,1.53301E-4,1423441920,677137112,635369616,614485968
0.037514592,0.006055847,2.07E-5,1.54902E-4,1423441920,614485968,572716168,572716168
0.043802641,0.004110732,1.9E-5,1.46001E-4,1423441920,572716168,530932416,530932416
0.030379936,0.003592028,1.89E-5,1.40301E-4,1423441920,520362760,478595400,478595400
0.027863817,0.003622428,2.0501E-5,1.39601E-4,1423441920,478595400,436828096,415944440
0.027828217,0.003487327,1.91E-5,1.36801E-4,1423441920,415944440,374177144,374177144
0.037155689,0.007851561,3.35E-5,1.79002E-4,1423441920,374177144,2421951032,2421951032
0.027835817,0.003637528,2.07E-5,1.88202E-4,2480406528,2421951032,2380193672,2380193672
0.028013818,0.003513027,1.99E-5,1.41801E-4,2480406528,2380193672,2338435000,2338435000
0.027473414,0.003589928,1.98E-5,1.47801E-4,2480406528,2338435000,2296677640,2296677640
0.027573114,0.003629329,2.22E-5,1.59601E-4,2480406528,2296677640,2254920032,2254920032
0.027825717,0.003500527,1.91E-5,1.37001E-4,2480406528,2254920032,2213162664,2213162664
0.027516714,0.003521627,1.9E-5,1.37901E-4,2480406528,2213162664,2171405296,2171405296
0.027725216,0.003643028,2.02E-5,1.66102E-4,2480406528,2171405296,2129647936,2087890448
0.027493914,0.003522428,1.96E-5,1.40201E-4,2480406528,2087890448,2046133088,2046133088
0.027829716,0.00384963,1.99E-5,1.46602E-4,2480406528,2046133088,2004375600,2004375600
0.027748016,0.003549328,1.89E-5,1.37101E-4,2480406528,2004375600,1962618240,1962618240
0.02836702,0.003552528,2.0E-5,1.30801E-4,2480406528,1962618240,1920860592,1920860592
0.147759432,0.015430319,0.002253617,5.54004E-4,506462208,498534920,453577328,445650040
0.068813627,0.011142785,1.14301E-4,3.55903E-4,506462208,445650040,403365288,400722560
0.072244753,0.006090747,1.32701E-4,3.39303E-4,506462208,400722560,475866304,473313504
0.03529507,0.005808045,1.12601E-4,0.001155209,506462208,473313504,430164696,425091656
0.032133446,0.006050946,1.08901E-4,2.34302E-4,506462208,423770352,379324312,376787832
0.04431274,0.00523134,1.05601E-4,2.20002E-4,506462208,376787832,595082688,589972872
0.029610827,0.004330233,1.40501E-4,2.61402E-4,638582784,589972872,549090912,543981080
0.031132039,0.004360433,9.5401E-5,4.17903E-4,638582784,543981080,503100736,497990752
0.051267093,0.008295464,1.56701E-4,2.10902E-4,638582784,497990752,457110760,452000936
0.062890282,0.007989061,8.2101E-5,1.97201E-4,638582784,452000936,411119288,406009128
0.076548487,0.015442918,4.2101E-5,1.79701E-4,638582784,406009128,365127008,619720776
0.027651111,0.004372934,5.1E-5,1.95502E-4,638582784,619720776,578483936,573331336
0.030826036,0.004274433,3.7001E-5,1.69901E-4,638582784,570688904,529468816,524316160
0.029072923,0.004178232,3.57E-5,1.98102E-4,638582784,524316160,483079408,477926592
0.029551426,0.004041431,3.49E-5,1.58201E-4,638582784,477926592,436703600,431550760
0.029043923,0.004494734,3.7501E-5,1.65501E-4,638582784,429833168,383459072,383459072
0.036215877,0.00400623,3.6501E-5,1.74801E-4,638582784,383459072,859015176,848678592
0.029362725,0.004329133,3.58E-5,1.71801E-4,902823936,848678592,807333072,807333072
0.027808713,0.004340633,6.4301E-5,1.69001E-4,902823936,807333072,765987256,755650696
0.029485726,0.004188732,3.47E-5,1.65702E-4,902823936,755650696,714303688,714303688
0.029406225,0.004076131,3.63E-5,1.62202E-4,902823936,714303688,672957824,662621600
0.029143224,0.004120631,3.6301E-5,1.64801E-4,902823936,662621600,621272664,621272664
0.046543956,0.008935569,3.83E-5,1.84101E-4,902823936,621272664,579925192,569588912
0.060710665,0.008079562,4.49E-5,1.98002E-4,902823936,569588912,528244000,528244000
0.060762965,0.00777866,3.82E-5,1.81502E-4,902823936,528244000,486897456,476560896
0.059495655,0.007586359,4.12E-5,1.77301E-4,902823936,476560896,435215024,435215024
0.075934282,0.007902961,4.19E-5,2.14102E-4,902823936,435215024,393869792,383533392
0.065127399,0.00391113,1.03501E-4,1.83701E-4,902823936,383533392,864161832,864161832
0.027514211,0.015157716,4.7901E-5,1.99601E-4,902823936,864161832,822786208,812442320
0.054213315,0.006889853,3.78E-5,1.63801E-4,902823936,812442320,771064016,771064016
0.058254746,0.007035254,3.28E-5,1.66001E-4,902823936,771064016,729688152,719344264
0.054688918,0.006846352,3.15E-5,1.50901E-4,902823936,719344264,677968360,677968360
0.071660049,0.00778556,4.26E-5,1.64902E-4,902823936,677968360,636592288,626248272
0.034605365,0.003659928,9.1501E-5,1.63701E-4,902823936,626248272,584872592,584872592
0.026798605,0.003634828,2.45E-5,1.86402E-4,902823936,584872592,543495800,533151744
0.027038107,0.003610328,2.48E-5,1.49501E-4,902823936,533151744,491774792,491774792
0.029311425,0.003623928,5.28E-5,1.58601E-4,902823936,491774792,440053888,440053888
0.026881206,0.003616427,2.9601E-5,1.52001E-4,902823936,440053888,398678024,398678024
0.0391331,0.006123447,3.76E-5,1.60101E-4,902823936,398678024,1383560792,1383560792
0.047619665,0.006378549,2.67E-5,1.65802E-4,1423966208,1383560792,1342017320,1342017320
0.028806821,0.003617128,2.56E-5,1.46001E-4,1423966208,1342017320,1300473120,1300473120
0.027641211,0.003650028,6.2601E-5,1.49801E-4,1423966208,1300473120,1258928352,1238156600
0.030563434,0.003657428,2.57E-5,2.85703E-4,1423966208,1238156600,1196613264,1196613264
0.030975138,0.003811829,2.88E-5,1.64401E-4,1423966208,1196613264,1155070040,1155070040
0.045597649,0.007204155,2.59E-5,1.78201E-4,1423966208,1155070040,1113525504,1113525504
0.050823689,0.006071746,2.44E-5,2.11602E-4,1423966208,1113525504,1071982248,1051210624
0.054064414,0.006037147,8.06E-5,2.11802E-4,1423966208,1051210624,1009666064,1009666064
0.053708912,0.005981146,7.26E-5,1.56801E-4,1423966208,1009666064,968122728,968122728
